,Reference,Distorted,MOS,Reference_ID,Distortion_ID,Distortion_Intensity
0,I01.BMP,I01_01_1.bmp,5.9706,01,01,1
1,I01.BMP,I01_01_2.bmp,5.4167,01,01,2
2,I01.BMP,I01_01_3.bmp,4.5556,01,01,3
3,I01.BMP,I01_01_4.bmp,4.3143,01,01,4
4,I01.BMP,I01_02_1.bmp,6.1429,01,02,1
5,I01.BMP,I01_02_2.bmp,5.7941,01,02,2
6,I01.BMP,I01_02_3.bmp,5.4444,01,02,3
7,I01.BMP,I01_02_4.bmp,4.9143,01,02,4
8,I01.BMP,I01_03_1.bmp,4.8056,01,03,1
9,I01.BMP,I01_03_2.bmp,4.0286,01,03,2
10,I01.BMP,I01_03_3.bmp,3.5278,01,03,3
11,I01.BMP,I01_03_4.bmp,2.75,01,03,4
12,I01.BMP,I01_04_1.bmp,6.0286,01,04,1
13,I01.BMP,I01_04_2.bmp,5.9714,01,04,2
14,I01.BMP,I01_04_3.bmp,5.7429,01,04,3
15,I01.BMP,I01_04_4.bmp,4.8286,01,04,4
16,I01.BMP,I01_05_1.bmp,5.8571,01,05,1
17,I01.BMP,I01_05_2.bmp,5.6111,01,05,2
18,I01.BMP,I01_05_3.bmp,4.8571,01,05,3
19,I01.BMP,I01_05_4.bmp,3.5429,01,05,4
20,I01.BMP,I01_06_1.bmp,4.4706,01,06,1
21,I01.BMP,I01_06_2.bmp,4.2286,01,06,2
22,I01.BMP,I01_06_3.bmp,4.0294,01,06,3
23,I01.BMP,I01_06_4.bmp,3.3056,01,06,4
24,I01.BMP,I01_07_1.bmp,4.7778,01,07,1
25,I01.BMP,I01_07_2.bmp,4.1111,01,07,2
26,I01.BMP,I01_07_3.bmp,3.2,01,07,3
27,I01.BMP,I01_07_4.bmp,2.1667,01,07,4
28,I01.BMP,I01_08_1.bmp,4.7353,01,08,1
29,I01.BMP,I01_08_2.bmp,3.9143,01,08,2
30,I01.BMP,I01_08_3.bmp,3.2778,01,08,3
31,I01.BMP,I01_08_4.bmp,2.1765,01,08,4
32,I01.BMP,I01_09_1.bmp,5.7143,01,09,1
33,I01.BMP,I01_09_2.bmp,4.9143,01,09,2
34,I01.BMP,I01_09_3.bmp,3.0,01,09,3
35,I01.BMP,I01_09_4.bmp,1.2,01,09,4
36,I01.BMP,I01_10_1.bmp,5.9444,01,10,1
37,I01.BMP,I01_10_2.bmp,5.1667,01,10,2
38,I01.BMP,I01_10_3.bmp,3.3056,01,10,3
39,I01.BMP,I01_10_4.bmp,1.4571,01,10,4
40,I01.BMP,I01_11_1.bmp,5.8,01,11,1
41,I01.BMP,I01_11_2.bmp,5.1667,01,11,2
42,I01.BMP,I01_11_3.bmp,3.5556,01,11,3
43,I01.BMP,I01_11_4.bmp,1.0,01,11,4
44,I01.BMP,I01_12_1.bmp,6.4242,01,12,1
45,I01.BMP,I01_12_2.bmp,4.3056,01,12,2
46,I01.BMP,I01_12_3.bmp,4.1111,01,12,3
47,I01.BMP,I01_12_4.bmp,3.3889,01,12,4
48,I01.BMP,I01_13_1.bmp,4.1714,01,13,1
49,I01.BMP,I01_13_2.bmp,3.8235,01,13,2
50,I01.BMP,I01_13_3.bmp,3.5143,01,13,3
51,I01.BMP,I01_13_4.bmp,3.1765,01,13,4
52,I01.BMP,I01_14_1.bmp,6.3429,01,14,1
53,I01.BMP,I01_14_2.bmp,6.3429,01,14,2
54,I01.BMP,I01_14_3.bmp,5.6944,01,14,3
55,I01.BMP,I01_14_4.bmp,4.6111,01,14,4
56,I01.BMP,I01_15_1.bmp,2.5143,01,15,1
57,I01.BMP,I01_15_2.bmp,2.9706,01,15,2
58,I01.BMP,I01_15_3.bmp,3.8571,01,15,3
59,I01.BMP,I01_15_4.bmp,4.2778,01,15,4
60,I01.BMP,I01_16_1.bmp,5.9412,01,16,1
61,I01.BMP,I01_16_2.bmp,5.6286,01,16,2
62,I01.BMP,I01_16_3.bmp,5.8889,01,16,3
63,I01.BMP,I01_16_4.bmp,4.8571,01,16,4
64,I01.BMP,I01_17_1.bmp,6.5,01,17,1
65,I01.BMP,I01_17_2.bmp,4.9714,01,17,2
66,I01.BMP,I01_17_3.bmp,6.1944,01,17,3
67,I01.BMP,I01_17_4.bmp,3.9722,01,17,4
68,I02.BMP,I02_01_1.bmp,6.3,02,01,1
69,I02.BMP,I02_01_2.bmp,5.6563,02,01,2
70,I02.BMP,I02_01_3.bmp,4.9375,02,01,3
